,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Kigoma,TZ,-4.8769,29.6267,70.9,65,20,2.55,few clouds
238,Providencia,MX,28.7167,-111.5833,102.2,39,0,10.83,clear sky
239,Pangnirtung,CA,66.1451,-65.7125,45.79,67,0,1.72,clear sky
240,Tay Ninh,VN,11.3,106.1,84.13,73,99,3.11,overcast clouds
241,Kaeo,NZ,-35.1,173.7833,60.33,84,86,8.61,overcast clouds
242,Ternate,ID,0.8,127.4,84.58,67,54,2.39,broken clouds
243,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.14,95,100,5.21,overcast clouds
244,Jizan,SA,17.3333,42.6667,88.74,67,67,4.14,broken clouds
245,Fort Nelson,CA,58.8053,-122.7002,56.79,94,100,6.91,light intensity shower rain
246,Tafo,GH,6.7345,-1.6127,70.12,100,100,2.59,light rain
247,Mar Del Plata,AR,-38.0023,-57.5575,42.94,68,36,1.99,scattered clouds
248,Douentza,ML,14.9951,-2.9517,85.75,51,100,10.04,overcast clouds
249,Quime,BO,-16.9833,-67.2167,45.12,90,68,2.91,broken clouds
250,Itaberaba,BR,-12.5275,-40.3069,65.68,96,3,2.17,clear sky
251,Rockland,US,41.1668,-74.0496,62.85,92,100,5.12,overcast clouds
252,Fairview,US,40.8126,-73.999,63.32,89,100,3.0,overcast clouds
253,Boca Do Acre,BR,-8.7522,-67.3978,76.05,78,35,0.98,scattered clouds
254,Hithadhoo,MV,-0.6,73.0833,83.91,68,30,9.19,scattered clouds
255,Plettenberg Bay,ZA,-34.0527,23.3716,61.18,70,57,6.46,broken clouds
256,Puerto Concordia,CO,2.6221,-72.7572,71.64,96,80,0.36,broken clouds
257,Karratha,AU,-20.7377,116.8463,77.67,27,0,14.52,clear sky
258,Shenzhen,CN,22.5455,114.0683,88.14,99,17,7.34,few clouds
259,Zeya,RU,53.75,127.2667,69.35,79,84,3.22,light rain
260,Axim,GH,4.8699,-2.2405,74.59,92,97,4.41,light rain
261,Dunedin,NZ,-45.8742,170.5036,51.8,58,98,1.99,overcast clouds
262,Alugan,PH,12.2188,125.4808,82.31,78,100,5.14,overcast clouds
263,Mayo,US,38.8876,-76.5119,71.2,94,100,5.75,overcast clouds
264,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,6.91,scattered clouds
265,Pisco,PE,-13.7,-76.2167,62.65,72,100,8.05,overcast clouds
266,Buchanan,LR,5.8808,-10.0467,75.92,91,90,7.45,moderate rain
267,Haines Junction,CA,60.7522,-137.5108,66.15,42,100,9.22,overcast clouds
268,Bocas Del Toro,PA,9.3333,-82.25,77.72,81,100,2.86,overcast clouds
269,Lompoc,US,34.6391,-120.4579,82.54,87,0,9.22,clear sky
270,Belmonte,BR,-15.8631,-38.8828,72.16,89,20,5.88,few clouds
271,Aykhal,RU,66.0,111.5,80.87,26,92,14.23,overcast clouds
272,College,US,64.8569,-147.8028,80.01,36,75,5.75,broken clouds
273,Vila Velha,BR,-20.3297,-40.2925,73.35,93,40,5.75,scattered clouds
274,Talara,PE,-4.5772,-81.2719,64.67,83,71,18.03,broken clouds
275,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,51,100,8.05,overcast clouds
276,Avarua,CK,-21.2078,-159.775,82.45,83,100,18.41,overcast clouds
277,Boyolangu,ID,-8.1181,111.8935,80.53,79,99,11.3,light rain
278,Lebu,CL,-37.6167,-73.65,48.22,90,100,8.59,heavy intensity rain
279,Mbuji-Mayi,CD,-6.15,23.6,68.5,47,20,3.8,few clouds
280,Uige,AO,-7.6087,15.0613,61.7,96,42,1.86,scattered clouds
281,Mareeba,AU,-17.0,145.4333,75.43,62,0,9.8,clear sky
282,Muros,ES,42.7762,-9.0603,60.1,92,100,2.77,overcast clouds
283,Strezhevoy,RU,60.7333,77.5889,63.77,70,57,5.23,broken clouds
284,Bambanglipuro,ID,-7.95,110.2833,81.59,76,90,14.58,overcast clouds
285,Nakusp,CA,50.2499,-117.8023,73.74,53,26,3.44,scattered clouds
286,Palu,ID,-0.8917,119.8707,87.85,62,81,1.95,broken clouds
287,Jinchang,CN,38.4953,102.1739,79.72,30,0,7.52,clear sky
288,Udachnyy,RU,66.4167,112.4,84.45,30,54,12.53,broken clouds
289,Hovd,MN,48.0056,91.6419,74.35,28,0,1.99,clear sky
290,Laguna,US,38.421,-121.4238,94.44,30,0,8.05,clear sky
291,Oranjemund,NA,-28.55,16.4333,52.72,90,0,3.6,clear sky
292,Beyneu,KZ,45.3167,55.2,83.53,31,86,15.68,overcast clouds
293,Sambava,MG,-14.2667,50.1667,67.32,69,88,11.72,overcast clouds
294,Watrous,CA,51.6668,-105.4679,76.78,41,48,6.91,scattered clouds
295,Ongandjera,NA,-17.8833,15.0667,49.89,25,0,4.36,clear sky
296,Goderich,CA,43.7501,-81.7165,64.9,73,0,15.19,clear sky
297,Bayshore Gardens,US,27.4253,-82.5904,83.98,63,75,3.44,broken clouds
298,Opuwo,NA,-18.0607,13.84,45.99,36,0,2.39,clear sky
299,Valdivia,CL,-39.8142,-73.2459,35.69,85,100,2.86,overcast clouds
300,Asau,RO,46.4333,26.4,51.28,73,71,5.14,broken clouds
301,Ust-Omchug,RU,61.15,149.6333,62.38,60,38,10.94,scattered clouds
302,Bowen,AU,-20.0167,148.2333,72.3,63,4,17.69,clear sky
303,Port Macquarie,AU,-31.4333,152.9167,65.89,44,1,1.59,clear sky
304,Mount Gambier,AU,-37.8333,140.7667,57.11,88,75,14.97,broken clouds
305,Athabasca,CA,54.7169,-113.2854,61.21,86,95,10.69,overcast clouds
